"Time validity invitations (days)","Time validity invitations (days)"
"To change more cash, you must specify a company number.","To change more cash, you must specify a company number."
"To change your points into cash, you must indicate your IBAN.","To change your points into cash, you must indicate your IBAN."
"Type","Type"
"Unable to find change to save","Unable to find change to save"
"Unable to find invitation to save","Unable to find invitation to save"
"Unable to find sponsorship to save","Unable to find sponsorship to save"
"Unable to get contacts !","Unable to get contacts !"
"Update status","Update status"
"Use of your fidelity points","Use of your fidelity points"
"Use of your points","Use of your points"
"Use of your sponsorship points","Use of your sponsorship points"
"Validate","Validate"
"Validity fidelity points ","Validity fidelity points "
"Validity points","Validity points"
"Validity sponsorship points ","Validity sponsorship points "
"Value","Value"
"Voucher exchange enabled","Voucher exchange enabled"
"Voucher exchange mail options","Voucher exchange mail options"
"Vouchers","Vouchers"
"Vouchers:","Vouchers:"
"Waiting","Waiting"
"Winning","Winning"
"You can't send an invitation to yourself","You can't send an invitation to yourself"
"You do not have active godson.","You do not have active godson."
"You do not have as many points.","You do not have as many points."
"You do not have yet send invit.","You do not have yet send invit."
"You have %d points.","You have %d points."
"You must already have purchased to sponsor.","You must already have purchased to sponsor."
"You should visit this website. It offers interesting products.","You should visit this website. It offers interesting products."
"Your email has been successfully sent.","Your email has been successfully sent."
"Your godsons","Your godsons"
"Your invitations","Your invitations"
"Your lastest orders","Your lastest orders"
"Your login:","Your login:"
"Your mail has not been sent, please try again later.","Your mail has not been sent, please try again later."
"Your message","Your message"
"Your message will be preceded by:","Your message will be preceded by:"
"Your message will ends as follows:","Your message will ends as follows:"
"Your message:","Your message:"
"Your points exchanges:","Your points exchanges:"
"Your request has been submitted, you will soon receive an email confirmation.","Your request has been submitted, you will soon receive an email confirmation."
"Cancel earned points on credit memo creation","Cancel earned points on credit memo creation"
"Cancel the use of points on credit memo creation","Cancel the use of points on credit memo creation"
