identifiant;titre;description;catégorie de produits google;catégorie;lien;lien image;état;disponibilité;prix;prix soldé;marque;gtin;mpn;livraison
4468;The bento lunch box Made in France -MB Original 2019 orange Brique;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-brique-made-in-france.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-orange-brique-monbento_1.png;neuf;en stock;39,90 USD;;monbento;3760192685351;120001123;9,90 USD
4649;The lunch box Made in France - MB Original 2019 grey Coton;First-born product created by monbento, the MB Original bento box is the ideal partner for your daily lunches at the office, for your picnics and other meals on-the-go. Its design and its high-quality material that ensures a long-lasting use make it unique and it also distinguished itself with a soft touch finish. Available in different colours and patterns, it is 100% customizable! Choose the box which suits you!;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-box-monbento-mb-original-coton-made-in-france-2019.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/b/e/bento-bpx-mb-original-lunch-box-coton.png;neuf;en stock;39,90 USD;;monbento;3760192683746;120011110-P;9,90 USD
4684;The large lunch container bento -  MB Square graphic Jungle;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/bento-lunchbox-monbento-mb-square-graphic-green-jungle.html;https://www.monbento.co.uk/media/resized/532/532//media/catalog/product/s/q/square-jungle-iso.png;neuf;en stock;34,90 USD;;monbento;3760192686952;13014001;9,90 USD
4674;The large lunch container bento -  MB Square graphic Blossom;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/lunchbox-bento-monbento-mb-square-blossom-flowers.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/s/q/square-blossom-iso.png;neuf;en stock;34,90 USD;;monbento;3760192686648;13014002;9,90 USD
3484;The large lunch container bento -  MB Square black Onyx;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/mb-square-black-bento-box.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-grande-boite-bento-mb-square-noire.png;neuf;en stock;29,90 USD;;monbento;3760192681933;120003002;9,90 USD
4328;The large bento bento box - MB Square blue Denim;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/square-bento-box-mb-square-denim.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-large-bento-mb-square-denim-blue-bleu-azul-blau-blu.png;neuf;en stock;29,90 USD;;monbento;3760192684156;120003020;9,90 USD
4472;The large lunch box bento - MB Square pink Blush;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/square-bento-box-mb-square-pink-blush.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/l/a/large-bento-box-pink-mb-square-blush-monbento.png;neuf;en stock;29,90 USD;;monbento;3760192685436;120003126;9,90 USD
3988;The large lunch container bento - MB Square pink Litchi;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/square-bento-box-mb-square-litchi.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-grande-boite-bento-mb-square-rose-litchi.png;neuf;en stock;29,90 USD;;monbento;3760192683371;120003066;9,90 USD
4097;The large bento bento box - MB Square grey Coton;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/square-bento-box-mb-square-coton.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-bento-mb-square-coton-lunch-box.png;neuf;en stock;29,90 USD;;monbento;3760192683678;120013110;9,90 USD
3486;The large bento bento box - MB Square grey Meteorite;Almost twice as big as the MB Original, the MB Square bento box is ready to satisfy the appetite of food lovers! This lunch box is not only perfect too bring your meals at the office but also for summer picnics thanks to her two containers which can receive generous salads and nourishing sandwiches for the whole family.;Maison et jardin > Arts de la table et arts culinaires > Supports pour aliments et boissons > Sacs déjeuner et boites à  repas;Lunch box;https://us.monbento.com/en/mb-square-grey-bento-box.html;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/o/monbento-grande-boite-bento-mb-square-gris.png;neuf;en stock;29,90 USD;;monbento;3760192682510;120003010;9,90 USD
